Year,Island,Population,F_sample,F_genotype,H_sample,H_genotype,M_sample,M_genotype
2018,O'ahu,13886,2,2,1,1,6,6
2018,O'ahu,13885,1,1,0,0,3,3
2018,O'ahu,964,1,1,0,0,0,0
2018,O'ahu,844,4,5,1,1,4,4
2018,O'ahu,906,2,1,1,1,1,1
2018,Moloka'i,10228,1,1,0,0,1,1
2018,Moloka'i,102HU,4,3,0,0,0,0
2018,Maui,905,1,1,0,0,1,1
2018,Hawai'i,15191,1,1,0,0,0,0
2019,O'ahu,13886,3,3,3,2,3,3
2019,O'ahu,13885,0,0,0,0,4,2
2019,O'ahu,964,1,1,0,0,0,0
2019,O'ahu,844,2,2,1,1,3,2
2019,O'ahu,906,3,2,1,1,3,1
2019,Moloka'i,10228,3,3,1,1,2,2
2019,Moloka'i,102HU,4,3,0,0,0,0
2019,Maui,951,2,1,0,0,0,0
2019,Maui,905,3,3,0,0,3,3
2019,Maui,850,2,1,0,0,0,0
2019,Hawai'i,11221,0,0,0,0,1,1
2019,Hawai'i,15191,1,1,0,0,0,0
